prologue	Prologue: Utterance of Marvels	Prologue I	Utterance of Marvels: I
prologue	Prologue: Utterance of Marvels	Prologue II	Utterance of Marvels: II
ch1	Chapter I: Jinzhou Rising	Act I	First Resonance
ch1	Chapter I: Jinzhou Rising	Act II	Echoing Marche
ch1	Chapter I: Jinzhou Rising	Act III	Ominous Star
ch1	Chapter I: Jinzhou Rising	Act IV	Clashing Blades
ch1	Chapter I: Jinzhou Rising	Act V	Rewinding Raindrops
ch1	Chapter I: Jinzhou Rising	Act VI	Grand Warstorm
ch1	Chapter I: Jinzhou Rising	Interlude	A New Companion
ch1	Chapter I: Jinzhou Rising	Act VII	Thaw of Eons
ch1	Chapter I: Jinzhou Rising	Act VIII	To the Shore's End
ch2	Chapter II: Even When Divinity Remains Silent	Prologue	Through the Sea Thou Break
ch2	Chapter II: Even When Divinity Remains Silent	Act I	The Sacred Breeze So Often Breathes
ch2	Chapter II: Even When Divinity Remains Silent	Act II	Veils Off in Sun or Shadow
ch2	Chapter II: Even When Divinity Remains Silent	Act III	What Yesterday Wept, Today Doth Sing
ch2	Chapter II: Even When Divinity Remains Silent	Interlude	Old Man and the Whale	Old Man and the Whale/Story
ch2	Chapter II: Even When Divinity Remains Silent	Act IV	The Maiden, The Defier, The Death Crier
ch2	Chapter II: Even When Divinity Remains Silent	Act V	Shadow of Glory
ch2	Chapter II: Even When Divinity Remains Silent	Act VI	Flames of Heart
ch2	Chapter II: Even When Divinity Remains Silent	Act VII	Dreamcatchers in the Secret Gardens
ch2	Chapter II: Even When Divinity Remains Silent	Segue - I	Rust, Sword and the Sun
ch2	Chapter II: Even When Divinity Remains Silent	Act VIII	By Sun's Burning Hand
ch2	Chapter II: Even When Divinity Remains Silent	Act IX	By Moon's Fated Light
ch2	Chapter II: Even When Divinity Remains Silent	Act X	The Bygone Shall Always Return
ch2	Chapter II: Even When Divinity Remains Silent	Act XI	Dawn Breaks on Dark Tides
ch2	Chapter II: Even When Divinity Remains Silent	Segue - II	A Stranger in a Strange Land
ch2	Chapter II: Even When Divinity Remains Silent	Act XII	Stagnant Dawn on Wastelands
ch2	Chapter II: Even When Divinity Remains Silent	Segue - III	Flowing Starlight in the Iris
ch3	Chapter III: To the Stars Yet to Shine	Prologue	When the Unknown Thrums
ch3	Chapter III: To the Stars Yet to Shine	Act I	What Burns Beneath Frostlands
ch3	Chapter III: To the Stars Yet to Shine	Act II	Ode to the Second Sunrise
ch3	Chapter III: To the Stars Yet to Shine	Act III	The Star That Voyages Far
ch3	Chapter III: To the Stars Yet to Shine	Segue - I	All That Sunlight Touches
ch3	Chapter III: To the Stars Yet to Shine	Act IV	Gold Suspended in Shadows
ch3	Chapter III: To the Stars Yet to Shine	Segue - II	Rabbit Reflected in Shades
ch3	Chapter III: To the Stars Yet to Shine	Segue - III	The Flaming Red from Tomorrow
ch3	Chapter III: To the Stars Yet to Shine	Segue - IV	Wishes in the Bell
ch3	Chapter III: To the Stars Yet to Shine	Act V	Starlights from Yesterdays
ch3	Chapter III: To the Stars Yet to Shine	Segue - V	Wishes in the Bell: Epilogue
ch3	Chapter III: To the Stars Yet to Shine	Segue - VI	Beneath a Melting Night Sky
ch3	Chapter III: To the Stars Yet to Shine	Side Story	At Dream's Edge
ch3	Chapter III: To the Stars Yet to Shine	Segue - VII	We Choose the Sky
ch4	Chapter IV: Rebirth From the Depths	Act I	The Wind Before the Storm
ch4	Chapter IV: Rebirth From the Depths	Act II	Xuanling Sings, Storm Quelled
ch4	Chapter IV: Rebirth From the Depths	Segue - I	The Chant of Unseen Ties
ch4	Chapter IV: Rebirth From the Depths	Act III	Song of the Heart Sword
ch4	Chapter IV: Rebirth From the Depths	Segue - II	The Nethermancer's Requiem
