v1	Volume 1: Fall to Secret	Chapter 00	Fall	Fall
v1	Volume 1: Fall to Secret	Chapter 01	Corruption	Corruption
v1	Volume 1: Fall to Secret	Chapter 02	Identification	Identification
v1	Volume 1: Fall to Secret	Chapter 03	Enlightenment	Enlightenment
v1	Volume 1: Fall to Secret	Chapter 04	Bouquet	Bouquet
v1	Volume 1: Fall to Secret	Chapter 05	Wonderland	Wonderland
v1	Volume 1: Fall to Secret	Chapter 06	Pilgrim	Pilgrim (chapter)
v1	Volume 1: Fall to Secret	Chapter 07	Reunited	Reunited
v1	Volume 1: Fall to Secret	Chapter 08	Conflict	Conflict
v1	Volume 1: Fall to Secret	Chapter 09	Secret	Secret
v2	Volume 2: Comrade to Eden	Chapter 10	Comrade	Comrade
v2	Volume 2: Comrade to Eden	Chapter 11	The Strongest	The Strongest
v2	Volume 2: Comrade to Eden	Chapter 12	Hometown	Hometown
v2	Volume 2: Comrade to Eden	Chapter 13	Comeback	Comeback
v2	Volume 2: Comrade to Eden	Chapter 14	Journey	Journey
v2	Volume 2: Comrade to Eden	Chapter 15	Luck	Luck
v2	Volume 2: Comrade to Eden	Chapter 16	Brand	Brand
v2	Volume 2: Comrade to Eden	Chapter 17	Purpose	Purpose
v2	Volume 2: Comrade to Eden	Chapter 18	Hero	Hero
v2	Volume 2: Comrade to Eden	Chapter 19	Eden	Eden (chapter)
v3	Volume 3: Flame Dragon to Rescue	Chapter 20	Flame Dragon	Flame Dragon
v3	Volume 3: Flame Dragon to Rescue	Chapter 21	Giant Whale	Giant Whale
v3	Volume 3: Flame Dragon to Rescue	Chapter 22	Invasion	Invasion
v3	Volume 3: Flame Dragon to Rescue	Chapter 23	Prison	Prison
v3	Volume 3: Flame Dragon to Rescue	Chapter 24	Banishment	Banishment
v3	Volume 3: Flame Dragon to Rescue	Chapter 25	Tracking	Tracking
v3	Volume 3: Flame Dragon to Rescue	Chapter 26	Return	Return
v3	Volume 3: Flame Dragon to Rescue	Chapter 27	Exploration	Exploration
v3	Volume 3: Flame Dragon to Rescue	Chapter 28	The Unknown	The Unknown
v3	Volume 3: Flame Dragon to Rescue	Chapter 29	Rescue	Rescue
v4	Volume 4: Treasure to Gene	Chapter 30	Treasure	Treasure
v4	Volume 4: Treasure to Gene	Chapter 31	Mabeast	Mabeast
v4	Volume 4: Treasure to Gene	Chapter 32	Advance	Advance
v4	Volume 4: Treasure to Gene	Chapter 33	Clash	Clash
v4	Volume 4: Treasure to Gene	Chapter 34	Inheritance	Inheritance
v4	Volume 4: Treasure to Gene	Chapter 35	Conversation	Conversation
v4	Volume 4: Treasure to Gene	Chapter 36	Betrayal	Betrayal
v4	Volume 4: Treasure to Gene	Chapter 37	Struggle	Struggle
v4	Volume 4: Treasure to Gene	Chapter 38	Gluttony	Gluttony (chapter)
v4	Volume 4: Treasure to Gene	Chapter 39	Gene	Gene
v5	Volume 5: Choice to Rebirth	Chapter 40	Choice	Choice
v5	Volume 5: Choice to Rebirth	Chapter 41	Birth	Birth
v5	Volume 5: Choice to Rebirth	Chapter 42	Only One	Only One (chapter)
v5	Volume 5: Choice to Rebirth	Chapter 43	Key	Key
v5	Volume 5: Choice to Rebirth	Chapter 44	Path	Path
v5	Volume 5: Choice to Rebirth	Chapter 45	The Price of Sin	The Price of Sin
v5	Volume 5: Choice to Rebirth	Chapter 46	Rebirth	Rebirth
